peak_X peak_Y peak_Itot peak_Isub peak_fwaxmaj peak_fwaxmin peak_inclination Xdev Ydev peak_bkg Ipixmax Xfiterr Yfiterr
396.96   879.51   3870.32   2836.94   0.88   1.05    149.483   -0.04   -0.49   1033.38   3616   0.0050   0.0060
1116.35   772.05   3879.96   2824.26   0.80   0.96    177.882   0.35   0.05   1055.70   3889   0.0060   0.0070
795.97   968.28   3906.69   2816.63   0.84   0.84    323.529   -0.03   0.28   1090.06   3864   0.0380   0.0380
1660.25   983.85   3731.44   2700.20   0.96   0.96    210.279   0.25   -0.15   1031.25   3775   0.0100   0.0090
851.98   570.95   3719.50   2661.70   1.04   0.94    208.721   -0.02   -0.05   1057.80   3909   0.0090   0.0080
547.62   1380.32   3663.87   2619.36   1.44   1.03    172.114   -0.38   0.32   1044.51   3622   0.0320   0.0250
798.00   409.84   3611.26   2561.57   0.94   0.87    210.055   0.00   -0.16   1049.69   3736   0.0060   0.0060
837.11   525.33   3613.31   2559.14   0.91   0.86    97.712   0.11   0.33   1054.17   3500   0.0050   0.0050
1213.30   1957.01   3708.03   2556.82   1.32   1.95    144.246   0.30   0.01   1151.21   4282   0.0910   0.1220
1214.50   1937.30   3574.33   2541.98   1.08   1.09    325.682   -0.50   0.30   1032.36   3563   0.0200   0.0230
1504.71   1380.47   3578.73   2540.74   1.80   0.86    2.586   -0.29   0.47   1037.99   3597   0.0250   0.0150
500.38   734.49   3572.37   2534.23   0.99   0.94    51.804   0.38   -0.51   1038.14   3298   0.0080   0.0070
1831.67   1622.94   3477.37   2460.63   1.19   0.76    103.497   -0.33   -0.06   1016.74   3573   0.0160   0.0160
958.54   944.95   3390.48   2321.18   0.87   0.94    149.218   0.54   -0.05   1069.30   3240   0.0090   0.0090
1524.89   709.45   3195.83   2162.97   0.96   0.82    272.392   -0.11   0.45   1032.86   2969   0.0040   0.0050
1300.54   1162.95   3152.88   2103.85   0.89   0.77    114.135   -0.46   -0.05   1049.03   2989   0.0060   0.0050
444.02   1196.08   3119.67   2087.22   0.82   1.04    286.024   0.02   0.08   1032.44   3259   0.0070   0.0070
1222.16   386.57   3080.71   2038.04   0.99   0.93    111.884   0.16   -0.43   1042.67   2982   0.0080   0.0070
1078.07   183.94   3067.32   2024.14   1.35   1.16    81.163   0.07   -0.06   1043.18   3295   0.0110   0.0120
1363.53   838.30   3060.44   2015.57   0.83   0.97    1.662   -0.47   0.30   1044.87   2824   0.0060   0.0070
601.71   610.82   2975.15   1933.07   0.99   0.89    254.333   -0.29   -0.18   1042.08   2910   0.0050   0.0050
475.37   326.58   2936.39   1905.73   1.00   1.07    342.510   0.37   -0.42   1030.66   2825   0.0060   0.0060
733.36   1439.85   2895.54   1857.21   0.94   0.85    21.756   0.36   -0.15   1038.34   2797   0.0050   0.0040
1399.14   404.75   2708.96   1674.10   1.19   0.97    72.548   0.14   -0.25   1034.86   2740   0.0080   0.0070
398.34   671.09   2661.32   1632.68   1.02   0.88    62.779   0.34   0.09   1028.65   2631   0.0060   0.0050
1717.98   1992.40   2521.63   1511.93   1.32   1.13    317.171   -0.02   0.40   1009.70   2627   0.0190   0.0180
57.85   688.23   2521.39   1506.09   1.01   1.21    168.532   -0.15   0.23   1015.30   2527   0.0060   0.0060
1702.41   1179.00   2489.79   1464.66   0.80   1.06    22.302   -0.59   0.00   1025.13   2405   0.0060   0.0070
1167.83   575.03   2506.53   1457.18   1.01   1.29    176.358   -0.17   0.03   1049.35   2618   0.0090   0.0110
1024.27   1740.96   2463.88   1429.75   1.21   1.25    10.601   0.27   -0.04   1034.13   2591   0.0310   0.0300
907.27   752.14   2448.47   1391.65   0.93   0.84    283.636   0.27   0.14   1056.82   2464   0.0070   0.0070
1243.34   972.10   2442.95   1379.83   1.12   1.30    345.551   0.34   0.10   1063.12   2533   0.0420   0.0450
1238.27   1274.35   2433.00   1379.18   1.39   1.16    357.172   0.27   0.35   1053.82   2502   0.0420   0.0360
1146.68   1063.80   2414.68   1357.35   0.81   0.90    350.238   -0.32   -0.20   1057.33   2362   0.0070   0.0080
585.75   1813.49   2406.11   1328.44   1.88   2.07    170.175   -0.25   0.49   1077.67   2978   0.1430   0.1340
586.69   1793.95   2272.19   1252.71   1.65   0.77    187.307   -0.31   -0.05   1019.48   2233   0.0100   0.0060
1678.82   1136.44   2284.79   1243.75   1.31   1.19    87.445   -0.18   0.44   1041.04   2496   0.0390   0.0670
1299.24   1290.81   2247.46   1202.94   1.24   0.99    26.214   0.24   -0.19   1044.52   2319   0.0200   0.0200
1024.68   1617.72   2237.75   1190.05   0.83   1.59    80.567   -0.32   0.72   1047.69   2362   0.0390   0.0590
