1	4687.7
1.05	4239.24645
1.1	3851.67368
1.15	3514.48393
1.2	3219.34309
1.25	2959.56766
1.3	2729.74803
1.35	2525.46825
1.4	2343.09517
1.45	2179.61786
1.5	2032.5242
1.55	1899.70506
1.6	1779.37927
1.65	1670.03434
1.7	1570.37938
1.75	1479.30727
1.8	1395.86423
1.85	1319.22502
1.9	1248.67276
1.95	1183.58234
2	1123.40665
2.05	1067.66524
2.1	1015.93482
2.15	967.841286
2.2	906.854314
2.25	1463.17132
2.3	2359.11741
2.35	2336.34624
2.4	2314.26741
2.45	2292.84611
2.5	2272.0499
2.55	2251.8486
2.6	2232.21401
2.65	2213.11979
2.7	2194.54127
2.75	2314.7128
2.8	2213.92575
2.85	2119.19638
2.9	2030.0637
2.95	1946.10893
3	1866.95098
3.05	1792.24256
3.1	1721.66663
3.15	1887.41185
3.2	1818.89534
3.25	1753.87132
3.3	1692.11209
3.35	1633.4079
3.4	1577.56536
3.45	1625.35269
3.5	1567.76693
3.55	1512.99539
3.6	1460.86376
3.65	1411.21075
3.7	1363.88692
3.75	1318.75372
3.8	1275.68253
3.85	1234.55385
3.9	1195.25651
3.95	1157.68703
4	1121.74899
4.05	1087.35246
4.1	1054.4135
4.15	1022.85367
4.2	992.599644
4.25	963.582798
4.3	935.738865
4.35	909.00761
4.4	883.332534
4.45	858.660606
4.5	834.942012
4.55	812.129927
4.6	790.180307
4.65	769.051694
4.7	748.705039
4.75	729.10354
4.8	710.212487
4.85	691.999128
4.9	674.432536
4.95	657.483491
5	641.12437
5.05	625.329045
5.1	610.072789
5.15	595.332186
5.2	581.085052
5.25	567.310357
5.3	553.988158
5.35	541.099527
5.4	528.6265
5.45	516.552009
5.5	504.859838
5.55	493.534569
5.6	482.561536
5.65	471.926785
5.7	461.617031
5.75	451.619618
5.8	441.922492
5.85	432.51416
5.9	423.38366
5.95	414.520538
6	405.914814
6.05	397.556961
6.1	389.437878
6.15	381.548869
6.2	373.881624
6.25	366.428194
6.3	359.180978
6.35	352.1327
6.4	345.276397
6.45	338.605401
6.5	332.113325
6.55	325.794049
6.6	319.641706
6.65	313.650671
6.7	307.81555
6.75	302.131167
6.8	296.592553
6.85	291.19494
6.9	285.933747
6.95	280.804576
7	275.803199
7.05	270.925554
7.1	266.167733
7.15	261.525981
7.2	256.996683
7.25	252.576362
7.3	248.261672
7.35	244.04939
7.4	239.936415
7.45	235.919756
7.5	231.996535
7.55	228.163977
7.6	224.419407
7.65	220.760245
7.7	217.184005
7.75	213.688287
7.8	210.270776
7.85	206.929237
7.9	203.661514
7.95	200.465524
8	197.339257
8.05	194.280769
8.1	191.288184
8.15	188.359687
8.2	185.493527
8.25	182.688007
8.3	179.941488
8.35	177.252387
8.4	174.619169
8.45	172.04035
8.5	169.514495
8.55	167.040214
8.6	164.616161
8.65	162.241034
8.7	159.91357
8.75	157.632549
8.8	155.396784
8.85	153.20513
8.9	151.056473
8.95	148.949736
9	146.883873
9.05	144.857871
9.1	142.870747
9.15	140.921547
9.2	139.009347
9.25	137.133248
9.3	135.292379
9.35	133.485895
9.4	131.712974
9.45	129.97282
9.5	128.264658
9.55	126.587736
9.6	124.941324
9.65	123.324712
9.7	121.737211
9.75	120.17815
9.8	118.646878
9.85	117.142761
9.9	115.665184
9.95	114.213548
10	112.78727
10.05	111.385785
10.1	110.00854
10.15	108.655001
10.2	107.324644
10.25	106.016962
10.3	104.731461
10.35	103.46766
10.4	102.225091
10.45	101.003296
10.5	99.801832
10.55	98.6202661
10.6	97.4581767
10.65	96.3151531
10.7	95.1907953
10.75	94.0847134
10.8	92.9965273
10.85	91.9258665
10.9	90.8723702
10.95	89.8356862
11	88.8154712
11.05	87.8113907
11.1	86.823118
11.15	85.8503349
11.2	84.8927307
11.25	83.9500023
11.3	83.0218541
11.35	82.1079977
11.4	81.2081513
11.45	80.3220402
11.5	79.4493961
11.55	78.5899571
11.6	77.7434675
11.65	76.9096777
11.7	76.0883437
11.75	75.2792276
11.8	74.4820967
11.85	73.6967238
11.9	72.922887
11.95	150.993311
12	149.420384
12.05	147.870282
12.1	146.34258
12.15	144.836863
12.2	143.352727
12.25	141.889776
12.3	140.447624
12.35	139.02589
12.4	137.624207
12.45	136.24221
12.5	134.879548
12.55	133.535873
12.6	132.210847
12.65	130.904138
12.7	129.615423
12.75	128.344384
12.8	127.090711
12.85	125.854101
12.9	124.634255
12.95	123.430883
13	122.2437
13.05	121.072428
13.1	119.916793
13.15	118.776528
13.2	117.651372
13.25	116.541068
13.3	115.445364
13.35	114.364017
13.4	113.296783
13.45	112.243429
13.5	111.203722
13.55	110.177436
13.6	109.16435
13.65	108.164245
13.7	107.17691
13.75	137.59674
13.8	136.506797
13.85	135.429384
13.9	134.364311
13.95	133.311393
14	132.27045
14.05	131.241302
14.1	130.223775
14.15	129.217697
14.2	128.2229
14.25	127.239217
14.3	126.266487
14.35	125.30455
14.4	143.399682
14.45	142.186073
14.5	140.986873
14.55	139.801863
14.6	138.630828
14.65	137.473555
14.7	136.329837
14.75	135.199469
14.8	134.082251
14.85	132.977987
14.9	131.886484
14.95	130.807551
15	129.741003
15.05	128.686658
15.1	127.644335
15.15	126.613858
15.2	125.595055
15.25	124.587756
15.3	123.591793
15.35	122.607002
15.4	121.633222
15.45	120.670296
15.5	119.718067
15.55	118.776383
15.6	117.845093
15.65	116.924051
15.7	116.013111
15.75	115.11213
15.8	114.22097
15.85	113.339491
15.9	112.467559
15.95	111.605042
16	110.751807
16.05	109.907728
16.1	109.072677
16.15	108.24653
16.2	107.429166
16.25	106.620464
16.3	105.820306
16.35	105.028577
16.4	104.245161
16.45	103.469947
16.5	102.702825
16.55	101.943685
16.6	101.192421
16.65	100.448928
16.7	99.7131032
16.75	98.9848438
16.8	98.2640502
16.85	97.550624
16.9	96.8444685
16.95	96.1454882
17	95.4535894
17.05	94.76868
17.1	94.0906691
17.15	93.4194673
17.2	92.7549867
17.25	92.0971409
17.3	91.4458444
17.35	90.8010136
17.4	90.1625659
17.45	89.53042
17.5	88.904496
17.55	88.284715
17.6	87.6709996
17.65	87.0632733
17.7	86.4614611
17.75	85.8654889
17.8	85.2752839
17.85	84.6907742
17.9	84.1118892
17.95	83.5385593
18	82.9707158
18.05	82.4082914
18.1	81.8512194
18.15	81.2994344
18.2	80.7528718
18.25	80.2114681
18.3	79.6751606
18.35	79.1438876
18.4	78.6175884
18.45	78.096203
18.5	77.5796724
18.55	77.0679386
18.6	76.5609441
18.65	76.0586326
18.7	75.5609484
18.75	75.0678367
18.8	74.5792434
18.85	74.0951153
18.9	73.6153999
18.95	73.1400455
19	72.669001
19.05	72.2022163
19.1	71.7396417
19.15	71.2812284
19.2	70.8269282
19.25	70.3766938
19.3	69.9304782
19.35	69.4882353
19.4	69.0499197
19.45	68.6154864
19.5	68.1848913
19.55	67.7580907
19.6	67.3350416
19.65	66.9157015
19.7	66.5000287
19.75	66.0879819
19.8	65.6795204
19.85	65.2746041
19.9	64.8731933
19.95	64.4752491
20	64.0807329
20.05	63.6896067
20.1	63.3018331
20.15	62.9173751
20.2	62.5361962
20.25	62.1582605
20.3	61.7835323
20.35	61.4119768
20.4	61.0435594
20.45	60.6782459
20.5	60.3160027
20.55	59.9567967
20.6	59.600595
20.65	59.2473653
20.7	58.8970757
20.75	58.5496948
20.8	58.2051915
20.85	57.863535
20.9	57.5246952
20.95	57.1886421
21	56.8553463
21.05	56.5247786
21.1	56.1969103
21.15	55.8717132
21.2	55.549159
21.25	55.2292203
21.3	54.9118698
21.35	54.5970804
21.4	54.2848256
21.45	53.9750792
21.5	53.6678152
21.55	53.363008
21.6	53.0606324
21.65	52.7606633
21.7	52.4630762
21.75	52.1678467
21.8	51.8749507
21.85	51.5843646
21.9	51.2960649
21.95	51.0100284
22	50.7262323
22.05	50.444654
22.1	50.1652712
22.15	49.8880619
22.2	49.6130043
22.25	49.3400769
22.3	49.0692585
22.35	48.8005281
22.4	48.5338651
22.45	48.2692489
22.5	48.0066593
22.55	47.7460764
22.6	47.4874803
22.65	47.2308517
22.7	46.9761713
22.75	46.72342
22.8	46.472579
22.85	46.2236298
22.9	45.976554
22.95	45.7313334
23	45.4879501
23.05	45.2463864
23.1	45.0066248
23.15	44.768648
23.2	44.5324389
23.25	44.2979806
23.3	44.0652564
23.35	43.8342498
23.4	43.6049444
23.45	43.3773242
23.5	43.1513732
23.55	42.9270757
23.6	42.7044161
23.65	42.483379
23.7	42.2639491
23.75	42.0461115
23.8	41.8298513
23.85	41.6151537
23.9	41.4020043
23.95	41.1903887
24	40.9802926
24.05	40.771702
24.1	40.5646031
24.15	40.3589821
24.2	40.1548254
24.25	39.9521197
24.3	39.7508516
24.35	39.551008
24.4	39.3525759
24.45	39.1555426
24.5	38.9598953
24.55	38.7656214
24.6	38.5727086
24.65	38.3811447
24.7	38.1909173
24.75	38.0020147
24.8	37.8144248
24.85	37.6281359
24.9	37.4431364
24.95	37.2594149
25	37.07696
25.05	36.8957604
25.1	36.715805
25.15	36.5370828
25.2	36.359583
25.25	36.1832947
25.3	36.0082074
25.35	35.8343105
25.4	35.6615936
25.45	35.4900464
25.5	35.3196586
25.55	35.1504203
25.6	34.9823213
25.65	34.8153519
25.7	34.6495023
25.75	34.4847628
25.8	34.3211239
25.85	34.158576
25.9	33.9971098
25.95	33.8367161
26	33.6773857
26.05	33.5191094
26.1	33.3618784
26.15	33.2056838
26.2	33.0505167
26.25	32.8963684
26.3	32.7432304
26.35	32.5910941
26.4	32.4399511
26.45	32.289793
26.5	32.1406116
26.55	31.9923987
26.6	31.8451462
26.65	31.698846
26.7	31.5534904
26.75	31.4090713
26.8	31.2655811
26.85	31.123012
26.9	30.9813565
26.95	30.840607
27	30.700756
27.05	30.5617962
27.1	30.4237202
27.15	30.2865208
27.2	30.1501909
27.25	30.0147234
27.3	29.8801112
27.35	29.7463473
27.4	29.613425
27.45	29.4813373
27.5	29.3500776
27.55	29.2196392
27.6	29.0900153
27.65	28.9611996
27.7	28.8331855
27.75	28.7059665
27.8	28.5795364
27.85	28.4538888
27.9	28.3290175
27.95	28.2049163
28	28.0815792
28.05	27.9589999
28.1	27.8371727
28.15	27.7160914
28.2	27.5957503
28.25	27.4761434
28.3	27.3572651
28.35	27.2391097
28.4	27.1216714
28.45	27.0049447
28.5	26.8889239
28.55	26.7736037
28.6	26.6589786
28.65	26.5450432
28.7	26.431792
28.75	26.31922
28.8	26.2073217
28.85	26.096092
28.9	25.9855258
28.95	25.875618
29	25.7663635
29.05	25.6577573
29.1	25.5497944
29.15	25.4424701
29.2	25.3357793
29.25	25.2297174
29.3	25.1242794
29.35	25.0194607
29.4	24.9152567
29.45	24.8116626
29.5	24.7086738
29.55	24.6062859
29.6	24.5044943
29.65	24.4032945
29.7	24.3026821
29.75	24.2026527
29.8	24.103202
29.85	24.0043256
29.9	23.9060193
29.95	23.8082788
30	23.7111
